Año;Establecimiento;Nivel;Grado;Matriculados;Desertores
2023;INSTITUCION EDUCATIVA LA UNION;02 PRIMARIA;04 CUARTO;153;8
2023;INSTITUCION EDUCATIVA LA UNION;02 PRIMARIA;05 QUINTO;151;8
2023;INSTITUCION EDUCATIVA LA UNION;03 SECUNDARIA;06 SEXTO;153;8
2023;INSTITUCION EDUCATIVA LA UNION;03 SECUNDARIA;07 SÉPTIMO;129;6
2023;INSTITUCION EDUCATIVA LA UNION;03 SECUNDARIA;08 OCTAVO;91;5
2023;INSTITUCION EDUCATIVA LA UNION;03 SECUNDARIA;09 NOVENO;92;5
2023;INSTITUCION EDUCATIVA LA UNION;04 MEDIA;10 DÉCIMO;73;4
2023;INSTITUCION EDUCATIVA LA UNION;04 MEDIA;11 ONCE;52;3
2023;INSTITUCION EDUCATIVA MADRE AMALIA;01 PREESCOLAR;00 TRANSICIÓN;161;8
2023;INSTITUCION EDUCATIVA MADRE AMALIA;02 PRIMARIA;01 PRIMERO;170;9
2023;INSTITUCION EDUCATIVA MADRE AMALIA;02 PRIMARIA;02 SEGUNDO;146;7
2023;INSTITUCION EDUCATIVA MADRE AMALIA;02 PRIMARIA;03 TERCERO;136;7
2023;INSTITUCION EDUCATIVA MADRE AMALIA;02 PRIMARIA;04 CUARTO;159;8
2023;INSTITUCION EDUCATIVA MADRE AMALIA;02 PRIMARIA;05 QUINTO;145;7
2023;INSTITUCION EDUCATIVA MADRE AMALIA;03 SECUNDARIA;06 SEXTO;159;8
2023;INSTITUCION EDUCATIVA MADRE AMALIA;03 SECUNDARIA;07 SÉPTIMO;154;8
2023;INSTITUCION EDUCATIVA MADRE AMALIA;03 SECUNDARIA;08 OCTAVO;134;7
2023;INSTITUCION EDUCATIVA MADRE AMALIA;03 SECUNDARIA;09 NOVENO;150;8
2023;INSTITUCION EDUCATIVA MADRE AMALIA;04 MEDIA;10 DÉCIMO;116;6
2023;INSTITUCION EDUCATIVA MADRE AMALIA;04 MEDIA;11 ONCE;104;5
